MIC_id,SpeciesName,SpeciesID,phylum_name_Type,genus,genus_name,family,family_name,order,order_name,class,class_name,phylum,phylum_name,kingdom,kingdom_name
MC02867,unclassified Thermoprotei,490896,Thermoproteota,.,.,.,.,.,.,183924,Thermoprotei,28889,Thermoproteota,2157,Archaea
MC01454,unclassified Thermotogota,1130326,Thermotogota,.,.,.,.,.,.,.,.,200918,Thermotogota,2,Bacteria
MC02815,unclassified Thiotrichaceae,269023,Pseudomonadota,.,.,135617,Thiotrichaceae,72273,Thiotrichales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02887,unclassified Thiotrichales,939858,Pseudomonadota,.,.,.,.,72273,Thiotrichales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC01512,unclassified Tissierellaceae,2562713,Bacillota,.,.,1737406,Tissierellaceae,1737405,Tissierellales,1737404,Tissierellia,1239,Bacillota,2,Bacteria
MC02949,unclassified Trueperaceae,2026797,Deinococcota,.,.,332247,Trueperaceae,2762275,Trueperales,188787,Deinococci,1297,Deinococcota,2,Bacteria
MC01688,unclassified Turicibacteraceae,2952978,Bacillota,.,.,2810281,Turicibacteraceae,526525,Erysipelotrichales,526524,Erysipelotrichia,1239,Bacillota,2,Bacteria
MC03387,unclassified Twortvirus,2788670,Uroviricota,1857846,Twortvirus,2560065,Herelleviridae,.,.,2731619,Caudoviricetes,2731618,Uroviricota,2731360,Heunggongvirae
MC02907,unclassified Uetakevirus,1231360,Uroviricota,542960,Uetakevirus,.,.,.,.,2731619,Caudoviricetes,2731618,Uroviricota,2731360,Heunggongvirae
MC00235,Unclassified Veillonellaceae,42214,Bacillota,.,.,31977,Veillonellaceae,1843489,Veillonellales,909932,Negativicutes,1239,Bacillota,2,Bacteria
MC00613,unclassified Verrucomicrobiaceae,490346,Verrucomicrobiota,.,.,203557,Verrucomicrobiaceae,48461,Verrucomicrobiales,203494,Verrucomicrobiia,74201,Verrucomicrobiota,2,Bacteria
MC00573,unclassified Verrucomicrobiae,481447,Verrucomicrobiota,.,.,.,.,.,.,203494,Verrucomicrobiia,74201,Verrucomicrobiota,2,Bacteria
