ID,Related_protein,Related_protein_id,GeneName_Standarized,Related_protein_gene_name,UniprotAC,MIC_id,SpeciesName,Strain,StrainID,Drugid,Drug_Name,Type,Type_2,Microbiota_Site,Metabolites,Metabolites_CID,Metabolites_ID,KM,KM_combination,Metabolism_Type,Metabolism_Effect_on_Drug,Microbiota_Influence,Experiment_Materials,Experiment_Model_Species,Model_Condition_Disease,Experiment_Methods,Metabolism_Mechanism,Notes
MD06647,.,.,.,.,.,MC00275,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens MT4s-5,.,DR0847,(-)-Catechin,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of (-)-Catechin,.,Human,Healthy,LC/MS Analysis,"The Adlercreutzia equolifaciens MT4s-5 has been reported to metabolic modification of (-)-Catechin, thereby affecting drug activity.","Strain MT4s-5 readily converted EC and C into (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6- trihydroxyphenyl) propan-2-ol (1S) and +C into (2R)-1-(3,4- dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol (1R)."
MD06218,.,.,.,.,.,MC00005,Lactiplantibacillus plantarum,Lactobacillus plantarum IFPL935,.,DR0846,(-)-Epigallocatechin gallate,Microbiome Metabolic Modification Drug,Directly,.,"4-hydroxy-(3',4'-dihydroxyphenyl)-valeric acid; 5-(3,4-dihydroxyphenyl)-valerolactone",52920332; 45093073,MET0263; MET0261,.,.,.,involved in drug metabolism,Metabolic modification of (-)-Epigallocatechin gallate,.,Human,Healthy,.,"The Lactobacillus plantarum IFPL935 has been reported to metabolic modification of (-)-Epigallocatechin gallate, converting it to 4-hydroxy-(3',4'-dihydroxyphenyl)-valeric acid, 5-(3,4-dihydroxyphenyl)-valerolactone.","The results showed that L. plantarum IFPL935 exhibited higher resistance to nongalloylated monomeric flavan-3-ols, A-type dimeric procyanidins, and cranberry extract than to ()-epicatechin-3-O-gallate and B-type dimeric procyanidins. Despite these findings,the strain was capable of rapidly degrading ()-epicatechin-3-O-gallate, but not A- or B-type dimeric procyanidins. However, it was able to produce large changes in the phenolic profile of the cranberry extract mainly due to the catabolism of hydroxycinnamic and hydroxybenzoic acids. Of most relevance was the fact that L. plantarum IFPL935 cleaved the heterocyclic ring of monomeric flavan-3-ols, giving rise to 1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol, activity exhibited by only a few human intestinal bacteria."
MD06247,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 29863,411475,DR0885,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 29863 has been reported to metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 29863 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06248,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 49531,.,DR0885,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 49531 has been reported to metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 49531  was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06249,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii MT42,.,DR0885,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii MT42 has been reported to metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii MT42 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06250,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 29863,411475,DR0886,"(2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 29863 has been reported to metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 29863 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06251,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 49531,.,DR0886,"(2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 49531 has been reported to metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 49531  was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06252,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii MT42,.,DR0886,"(2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii MT42 has been reported to metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","Similarly, strain MT42 could convert 2S and 2R to their corresponding 4-hydroxy-5-(3-hydroxyphenyl) valeric acids (5R from 2S, 5S from 2R) and 5-(3-hydroxyphenyl)--valerolactones (6R from 2S, 6S from 2R)."
MD06253,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 29863,411475,DR0887,"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 29863 has been reported to metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 29863 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06254,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 49531,.,DR0887,"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 49531 has been reported to metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 49531  was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06255,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii MT42,.,DR0887,"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii MT42 has been reported to metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii MT42 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06256,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 29863,411475,DR0888,"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 29863 has been reported to metabolic modification of (2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 29863 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06257,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 49531,.,DR0888,"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 49531 has been reported to metabolic modification of (2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 49531  was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06258,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii MT42,.,DR0888,"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii MT42 has been reported to metabolic modification of (2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","Similarly, strain MT42 could convert 2S and 2R to their corresponding 4-hydroxy-5-(3-hydroxyphenyl) valeric acids (5R from 2S, 5S from 2R) and 5-(3-hydroxyphenyl)--valerolactones (6R from 2S, 6S from 2R)."
MD06400,.,.,.,.,.,MC00621,Dictyostelium discoideum,.,.,DR0852,"1-((3,5-Dichloro)-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone",Microbiome Metabolic Modification Drug,Directly,.,"1-(3-chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone",3081033,MET0183,.,.,.,involved in drug metabolism,"Metabolic modification of 1-((3,5-Dichloro)-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone","HCT116 human colon cancer cells, DLD-1 human colon cancer cells",Human,Healthy,"Western blot assay, RT-PCR","The Dictyostelium discoideum has been reported to metabolic modification of 1-((3,5-Dichloro)-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone, converting it to 1-(3-chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone.",DIF-3 induces proteolysis of cyclin D1 and c-Myc in HCT-116 cells via activation of GSK-3b.
MD06401,.,.,.,.,.,MC00621,Dictyostelium discoideum,.,.,DR0852,"1-((3,5-Dichloro)-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone",Microbiome Metabolic Modification Drug,Directly,.,"1-(3-chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone",3081033,MET0183,.,.,.,involved in drug metabolism,"Metabolic modification of 1-((3,5-Dichloro)-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone","HCT116 human colon cancer cells, DLD-1 human colon cancer cells",Human,Healthy,"Western blot assay, RT-PCR","The Dictyostelium discoideum has been reported to metabolic modification of 1-((3,5-Dichloro)-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone, converting it to 1-(3-chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone.","The amount of TCF7L2 increased gradually over time in control cells, but it was markedly reduced by DIF-3 in a time and dose-dependent manner."
MD06403,.,.,.,.,.,MC00621,Dictyostelium discoideum,.,.,DR0852,"1-((3,5-Dichloro)-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone",Microbiome Metabolic Modification Drug,Directly,.,"1-(3-chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone",3081033,MET0183,.,.,.,involved in drug metabolism,"Metabolic modification of 1-((3,5-Dichloro)-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone","HCT116 human colon cancer cells, DLD-1 human colon cancer cells",Human,Healthy,"Western blot assay, RT-PCR","The Dictyostelium discoideum has been reported to metabolic modification of 1-((3,5-Dichloro)-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone, converting it to 1-(3-chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone.",DIF-3 decreased the expression of cyclin D1 and cMyc to a level comparable to the reduction induced by DIF-1.
MD01980,Oxygen-insensitive NADPH nitroreductase A,P0054,nfsA,Oxygen-insensitive NADPH nitroreductase A (nfsA),NFSA_SALTY,MC00035,Salmonella enterica,.,.,DR0001,1-(2Aminoethyl)-2-methyl-5-nitroimidazole dihydrochloride,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,Reduction,involved in drug metabolism,Metabolic modification of 1-(2Aminoethyl)-2-methyl-5-nitroimidazole dihydrochloride,.,.,.,.,"The protein Oxygen-insensitive NADPH nitroreductase A (nfsA) of Salmonella enterica has been reported to metabolic modification of 1-(2Aminoethyl)-2-methyl-5-nitroimidazole dihydrochloride, thereby affecting drug activity.","The order of maximum mutagenic-activity was nitrofuran > 2-nitroimidazole > 5-nitroimidazole  4-nitroimidazole, which is very similar to the order of initial metabolic rate, i.e., the Pearson's correlation coefficient (r = 0.85) showed a correlation between metabolic rate and mutagenic-activity."
MD02177,Deazaflavin-dependent nitroreductase,P0493,ddn,Deazaflavin-dependent nitroreductase (ddn),DDN_MYCTU,MC00034,Mycobacterium tuberculosis,.,.,DR0001,1-(2Aminoethyl)-2-methyl-5-nitroimidazole dihydrochloride,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,Reduction,involved in drug metabolism,Metabolic modification of 1-(2Aminoethyl)-2-methyl-5-nitroimidazole dihydrochloride,.,.,.,.,"The protein Deazaflavin-dependent nitroreductase (ddn) of Mycobacterium tuberculosis has been reported to metabolic modification of 1-(2Aminoethyl)-2-methyl-5-nitroimidazole dihydrochloride, thereby affecting drug activity.","DLM can be metabolized by TB bacilli, and the anti-TB activity of DLM and other nitroimidazoles is dependent on a deazaflavin-dependent nitroreductase (ddn; Rv3547)-mediated reduction"
MD06246,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii aK2,.,DR0879,"1-(3,4-Dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-2-propanol",Microbiome Metabolic Modification Drug,Directly,.,"3,4-diHPP-2-ol; 3,4-diHPVL",.; .,MET0286; MET0287,.,.,.,involved in drug metabolism,"Metabolic modification of 1-(3,4-Dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-2-propanol",Fecal samples,Human,Healthy,"16S rRNA sequencing, UPLC-ESI-MS analysis, HPLC analysis","The Flavonifractor plautii aK2 has been reported to metabolic modification of 1-(3,4-Dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-2-propanol, converting it to 3,4-diHPP-2-ol, 3,4-diHPVL.","Two metabolites, M2 and M3, were first detected after 4 and 6h, respectively, of incubation with F.plautii aK2. The concentration of M2 was maximal after 6h and slightly decreased afterwards. The concentration of M3 increased rapidly until 8h followed by a minor increase during further incubation. Characterization of the observed metabolites by MS analyses and taking literature data into account led to the assignment of M2 as 5(3,4dihydroxyphenyl)valerolactone (3,4diHPVL) and M3 as 4hydroxy5(3,4dihydroxyphenyl)valeric acid (4H3,4diHPVA) (structures in Fig.3)."
MD06611,.,.,.,.,.,MC00010,Bacteroides sp.,.,.,DR0824,1-b-D-arabinofuranosyl-5-(E)-(2-bromovinyl)uracil,Microbiome Metabolic Modification Drug,Directly,.,BVU,.,MET0303,.,.,.,involved in drug metabolism,Metabolic modification of 1-b-D-arabinofuranosyl-5-(E)-(2-bromovinyl)uracil,In vivo,Rats,Healthy,.,"The Bacteroides sp. has been reported to metabolic modification of 1-b-D-arabinofuranosyl-5-(E)-(2-bromovinyl)uracil, converting it to BVU.",.
MD06363,.,.,.,.,.,MC00040,Escherichia coli,.,.,DR0819,"2,3-Dinitrotoluene",Microbiome Metabolic Modification Drug,Directly,.,2-methyl-6-nitroaniline,11298,MET0086,.,.,Reduction,involved in drug metabolism,"Metabolic modification of 2,3-Dinitrotoluene",.,.,.,.,"The Escherichia coli has been reported to metabolic modification of 2,3-Dinitrotoluene, converting it to 2-methyl-6-nitroaniline.",.
MD06360,.,.,.,.,.,MC00040,Escherichia coli,.,.,DR0751,"2,4-Dinitrotoluene",Microbiome Metabolic Modification Drug,Directly,.,4-methyl-3-nitroaniline,8390,MET0073,.,.,Reduction,involved in drug metabolism,"Metabolic modification of 2,4-Dinitrotoluene",.,.,.,.,"The Escherichia coli has been reported to metabolic modification of 2,4-Dinitrotoluene, converting it to 4-methyl-3-nitroaniline.",.
MD00621,Arylamine N-acetyltransferase,P0336,nhoA,Arylamine N-acetyltransferase (nhoA),A0A381G6X4_CITAM,MC00036,Citrobacter amalonaticus,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,The Arylamine N-acetyltransferase (nhoA) activity is 0.09 nmol*min(-1)*[mg of protein](-1),.,N-Acetylation,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The protein Arylamine N-acetyltransferase (nhoA) of Citrobacter amalonaticus has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD00625,.,.,.,.,.,MC00036,Citrobacter amalonaticus,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,Km values of 2-aminofluorene was 82,11 microM,.,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The Citrobacter amalonaticus has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD00634,Arylamine N-acetyltransferase,P0333,NAT,Arylamine N-acetyltransferase (NAT),A0A223JRX2_9ENTR,MC00037,Citrobacter farmeri,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,The Arylamine N-acetyltransferase (NAT) activity is 0.1 nmol*min(-1)*[mg of protein](-1),.,N-Acetylation,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The protein Arylamine N-acetyltransferase (NAT) of Citrobacter farmeri has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD00638,.,.,.,.,.,MC00037,Citrobacter farmeri,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,Km values of 2-aminofluorene was 64,3.8 microM,.,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The Citrobacter farmeri has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD00647,Arylamine N-acetyltransferase,P0331,nhoA,Arylamine N-acetyltransferase (nhoA),A0A0D7LKP9_CITFR,MC00038,Citrobacter freundii,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,The Arylamine N-acetyltransferase (nhoA) activity is 0.14 nmol*min(-1)*[mg of protein](-1),.,N-Acetylation,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The protein Arylamine N-acetyltransferase (nhoA) of Citrobacter freundii has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD00650,.,.,.,.,.,MC00038,Citrobacter freundii,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,Km values of 2-aminofluorene was 165,25 microM,.,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The Citrobacter freundii has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD00661,N-hydroxyarylamine O-acetyltransferase,P0589,nhoA,N-hydroxyarylamine O-acetyltransferase (nhoA),A0A078LE96_CITKO,MC00039,Citrobacter koseri,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,The N-hydroxyarylamine O-acetyltransferase (nhoA) activity is 0.32 nmol*min(-1)*[mg of protein](-1),.,N-Acetylation,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The protein N-hydroxyarylamine O-acetyltransferase (nhoA) of Citrobacter koseri has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD00665,.,.,.,.,.,MC00039,Citrobacter koseri,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,Km values of 2-aminofluorene was 96,7.8 microM,.,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The Citrobacter koseri has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD01082,Arylamine N-acetyltransferase,P0464,nhoA,Arylamine N-acetyltransferase (nhoA),NHOA_ECOLI,MC00040,Escherichia coli,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,The Arylamine N-acetyltransferase (nhoA) activity is 0.05 nmol*min(-1)*[mg of protein](-1),.,N-Acetylation,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The protein Arylamine N-acetyltransferase (nhoA) of Escherichia coli has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD01085,.,.,.,.,.,MC00040,Escherichia coli,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,Km values of 2-aminofluorene was 127,13 microM,.,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The Escherichia coli has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD01090,Arylamine N-acetyltransferase,P0464,nhoA,Arylamine N-acetyltransferase (nhoA),NHOA_ECOLI,MC00040,Escherichia coli,Escherichia coli K-12,83333,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,The Arylamine N-acetyltransferase (nhoA) activity is 0.02 nmol*min(-1)*[mg of protein](-1),.,N-Acetylation,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The protein Arylamine N-acetyltransferase (nhoA) of Escherichia coli K-12 has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD01102,.,.,.,.,.,MC00040,Escherichia coli,Escherichia coli K-12,83333,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,Km values of 2-aminofluorene was 205,27 microM,.,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The Escherichia coli K-12 has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
MD01303,Glucosamine-1-phosphate N-acetyltransferase,P0477,glmU,Glucosamine-1-phosphate N-acetyltransferase (glmU),GLMU_HELP2,MC00041,Helicobacter pylori,.,.,DR0002,2-aminofluorene,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,The Glucosamine-1-phosphate N-acetyltransferase (glmU) activity is 0.01 nmol*min(-1)*[mg of protein](-1),.,N-Acetylation,involved in drug metabolism,Metabolic modification of 2-aminofluorene,.,.,.,.,"The protein Glucosamine-1-phosphate N-acetyltransferase (glmU) of Helicobacter pylori has been reported to metabolic modification of 2-aminofluorene, thereby affecting drug activity.",.
